MÊS;AÇÃO;ATUALIZADA;PROVISAO;DESTAQUE;EMPENHADA;PAGAS
FEV/2026;123G;195527526;25353940.44;9110.56;20784185.77;13503048.61
FEV/2026;123H;235102387;26492547.17;56810.6;24090445.52288;34088.94
FEV/2026;123I;281776895;43889025.51;40000.0;41767085.497685;37645926.110405
FEV/2026;14T7;776782534;12593566.51;9132883.48;14799766.913825;525489.728825
FEV/2026;1N47;162360344;51889857.5;0.0;17913170.05;0.0
MAR/2026;123G;195527526;47358128.29;9110.56;24879084.77;13504828.55
MAR/2026;123H;235102387;26756618.46;56810.6;26705299.796784;34088.94
MAR/2026;123I;281776895;44078593.08;40000.0;42817115.298033;37806069.891329
MAR/2026;14T7;776782534;12425647.73;9304883.48;15704285.765885;565573.750885
MAR/2026;1N47;162360344;51889857.5;0.0;18117502.6;0.0
DEZ/2025;123G;570000000;569951557.63;48441.98;569999999.61;559831178.37
DEZ/2025;123H;615119334;606693128.42;288698.31;606981826.793808;596058341.535056
DEZ/2025;123I;471078983;424669392.19;0.0;424669206.02544;391840507.978544
DEZ/2025;14T7;1442170948;1303705544.83;133139628.08;1436845172.89046;1353195851.69536
DEZ/2025;1N47;70222238;0.0;61773594.95;61772180.009408;25557453.01552
DEZ/2024;123G;344993333;354847663.2;131886.89;354979550.06429;352478163.11429
DEZ/2024;123H;287100877;239558151.85;70086069.13;309644220.968368;276804450.023243
DEZ/2024;123I;888107295;1011591016.89;3722000.0;1011813016.58661;956137153.036136
DEZ/2024;14T7;279080867;173075153.61;107889068.23;280964221.742981;272522831.195469
DEZ/2024;1N47;80340840;0.0;80645419.64;80645418.622013;32529067.45
DEZ/2023;123G;338000000;337865000.0;135000.0;338000000.0;335430255.02
DEZ/2023;123H;185823209;166193440.28;19156588.23;185350028.513632;177213121.708181
DEZ/2023;123I;940530000;943045449.27;227002.46;943272451.616568;936566381.035441
DEZ/2023;14T7;222037742;147688833.66;73878182.63;221567016.279428;202147624.467646
DEZ/2023;1N47;24742290;24740204.43;0.0;24740204.435;18558997.86
DEZ/2022;123G;356386529;356129593.62;261714.0;356391307.62;319211663.92
DEZ/2022;123H;519460921;520914560.94;20507115.42;541421676.112665;389492605.72266
DEZ/2022;123I;716123534;749510626.68;180585.44;749691211.092869;573001559.467253
DEZ/2022;14T7;370623794;241409926.5;129727319.71;371137246.285457;266499556.05634
DEZ/2022;1N47;24890720;24924640.75;0.0;24924640.780283;18965000.03469
DEZ/2021;123G;259211588;259211588.0;0.0;259211588.0;257117476.93
DEZ/2021;123H;461023923;487418066.31;259392.55;487677458.804365;471498612.78364
DEZ/2021;123I;621916510;637159534.32;100000.0;637259534.303905;545131559.787515
DEZ/2021;14T7;213117000;144817425.11;69205562.79;214022987.824205;122686021.094605
DEZ/2021;1N47;6686795;6686795.0;0.0;6686795.0;6261793.04
DEZ/2020;123G;434078411;434037540.85;15688.36;434053229.188431;409143557.9357
DEZ/2020;123H;321895544;308485176.12;1260544.1;309745720.058384;301623514.449616
DEZ/2020;123I;628180453;687224687.37;0.0;687224687.204791;670641647.228982
DEZ/2020;14T7;134953342;129321931.54;5461435.16;134783366.741547;77697309.875775
DEZ/2020;1N47;16566198;16621602.7;0.0;16621602.695332;15697298.93876
DEZ/2019;123G;381286755;449589341.369633;83763.37;380537176.209633;344097271.616004
DEZ/2019;123H;393375120;769684117.491199;3658432.49;405337255.571199;378917445.18595
DEZ/2019;123I;507719899;817724342.818662;485134.84;512844298.661031;386057205.23296
DEZ/2019;14T7;252100000;200115364.796162;65158632.57;251630328.816162;68744246.934121
DEZ/2019;1N47;3041;3041.0;0.0;3041.0;0.0
DEZ/2018;123G;474754705;536209673.9701;302823.83;483532044.2001;430444845.67306
DEZ/2018;123H;432749167;817000672.76432;7329715.0;449882693.17432;333444427.020156
DEZ/2018;123I;877496128;1679301411.89128;430000.0;953778853.211276;842890427.639748
DEZ/2018;14T7;303333334;311676507.123148;4671347.77;304213790.683148;132009172.880496
DEZ/2018;1N47;2997129;5298627.244;0.0;3200113.064;126376.32
DEZ/2017;123G;376296138;376391466.87104;510239.04;376297028.84104;278238772.94
DEZ/2017;123H;364599000;669029628.98296;4992087.78;377331959.77296;302311928.7188
DEZ/2017;123I;934778481;1737094695.55488;210000.0;961058038.37488;908493130.1986
DEZ/2017;14T7;387359725;454621936.08588;1147829.04;388099495.71588;228923017.87828
DEZ/2017;1N47;80502;80501.83;0.0;80501.83;80501.83
DEZ/2016;123G;341348666;479440780.678521;4150.0;340685870.468521;219777358.482783
DEZ/2016;123H;247659860;411474379.787836;1773613.21;242298172.747836;173552674.234933
DEZ/2016;123I;493590004;915735262.583435;150000.0;486440895.969752;477287650.399287
DEZ/2016;14T7;161239462;205693803.236206;741220.13;160369766.164134;113015338.597715
DEZ/2016;1N47;250396;250396.0;0.0;250396.0;243015.63
DEZ/2015;123G;958290335;714639768.2542;11877352.41;684692574.1242;209375425.812184
DEZ/2015;123H;277512302;196817720.395344;312000.0;128896714.076296;33229996.461968
DEZ/2015;123I;412438011;517313559.584448;522000.0;264590334.494448;128562662.255328
DEZ/2015;14T7;346760000;302186498.254912;1818824.38;254013314.059192;77445006.393952
DEZ/2015;1N47;64096963;5253032.41;0.0;5092935.61;1293139.01
